id_sofascore,id_understat,id_whoscored,attendance,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,weather_code
8833432,15173,1481022,,7.3,74,0.0,5.3,51
8953857,,1490908,,11.8,92,0.0,3.1,3
8805162,,1469864,,9.9,85,0.2,2.4,51
8833421,15170,1481029,,5.5,86,0.9,4.6,53
8833417,15172,1481030,,5.7,93,0.1,7.9,51
8805153,,1469890,,8.1,92,0.3,5.6,53
8896913,14479,1485432,,7.3,91,0.0,8.7,51
8805158,,1469970,,10.0,89,1.7,11.2,61
8805152,,,,10.0,89,1.7,11.2,61
8805159,,,,7.3,94,0.1,9.6,51
8970416,15460,1495455,,10.5,82,0.0,8.2,51
8738518,15821,,,8.0,84,0.0,11.4,2
8970441,15463,1495463,,10.5,79,0.0,2.7,2
8738519,15820,1463984,,15.6,75,0.0,4.6,51
8805166,,1469952,,9.1,92,0.9,10.6,53
8896907,14476,1485435,,8.1,85,0.0,7.1,51
8953882,,,,17.2,90,0.0,15.0,51
8805185,,1469877,,7.4,99,0.3,8.6,53
8966301,14825,1492315,,11.7,82,0.0,10.0,2
8738523,15824,1463988,,4.0,81,0.0,5.7,2
8966337,14829,,,11.7,82,0.0,10.0,2
8966304,14826,,,10.0,57,0.0,8.3,0
8970362,15464,1495459,,13.4,74,0.0,7.0,0
8966349,14832,,,10.8,61,0.0,9.9,0
8953797,,1490905,,15.8,64,0.0,10.5,0
8953845,,1490906,,18.5,88,0.0,15.4,51
8896879,14482,1485440,,6.9,96,0.1,9.5,51
8833418,15174,1481028,,8.1,89,1.0,9.2,61
8953794,,1490911,,12.2,62,0.0,7.7,0
8833422,15175,1481026,,8.0,98,1.0,7.8,61
8896878,14483,1485232,,8.1,85,0.0,7.1,51
8805160,,1469966,,7.3,94,0.1,9.6,51
8738544,15825,1463989,,7.0,66,0.0,1.8,0
8738520,15816,1463980,,8.0,80,0.0,11.0,2
8896881,14484,1485438,,8.5,89,0.0,23.9,51
8953819,,1490909,,16.4,98,51.7,7.2,63
8896918,14478,1485227,,8.2,90,2.5,23.3,61
9091279,,,,9.0,84,5.8,19.4,63
9091281,,,,4.2,88,0.0,8.8,2
9091280,,,,13.4,96,23.6,23.8,63
9091273,,,,14.5,97,51.1,17.4,63
9091278,,,,16.3,96,0.2,22.4,51
9091269,,,,13.6,99,1.3,20.6,61
9091282,,,,-0.8,98,0.0,8.6,51
9091276,,,,10.1,95,0.0,9.5,3
9091277,,,,17.7,80,0.3,25.8,53
9091271,,,,13.7,94,17.8,40.6,63
9091272,,,,11.0,92,1.5,11.1,61
9091275,,,,9.4,97,0.0,10.0,3
9091267,,,,10.7,87,0.0,11.5,51
9110824,,,,14.9,86,0.2,29.2,51
9091270,,,,14.3,89,1.1,42.7,61
9091619,,,,11.8,92,0.0,22.3,3
9091571,,,,11.5,88,9.7,7.4,63
9091617,,,,14.1,48,0.0,2.4,0
9091618,,,,8.8,100,0.0,10.0,51
9091612,,,,5.9,93,0.1,10.1,51
9091602,,,,12.0,99,0.9,11.1,53
9091603,,,,16.3,56,0.0,6.4,0
9091605,,,,12.3,100,1.6,11.7,61
9091601,,,,13.4,98,7.2,12.4,63
9091608,,,,8.9,100,0.0,5.8,51
9091609,,,,5.3,98,0.0,10.1,51
9091620,,,,11.8,92,0.0,13.4,3
9091615,,,,16.0,95,0.0,4.9,3
9091621,,,,7.7,98,0.0,6.6,3
9091610,,,,9.7,100,4.9,4.8,63
9091611,,,,11.0,87,0.0,14.9,2
9091599,,,,7.4,100,0.0,8.4,3
9091622,,,,13.9,91,0.6,17.2,53
9091600,,,,21.6,83,0.0,11.3,2
9091598,,,,8.0,83,0.1,20.2,51
8833444,15176,1481039,,12.6,96,8.0,16.5,63
8966331,14844,,,14.6,59,0.0,18.1,51
8953820,,1490923,,10.9,86,0.0,3.4,2
8738608,15832,1464005,,12.3,93,2.1,21.0,61
8896882,14486,1485346,,5.7,91,0.0,11.8,3
8970410,15475,1495534,,13.8,100,4.2,10.0,63
8738615,15835,1464026,,14.9,92,108.3,42.6,63
8953826,,1490900,,20.1,87,6.0,28.3,63
8896887,14489,1485340,,14.6,92,58.1,48.8,63
8897003,14491,1485243,,7.7,98,1.2,16.7,61
8953868,,1490913,,15.9,95,12.7,26.0,63
8805172,,1469787,,14.1,86,0.3,34.5,53
8805187,,1469867,,14.1,86,0.3,31.3,53
8805183,,1469869,,14.2,86,0.4,43.7,53
8966293,14840,,,10.6,79,0.0,15.3,51
8896890,14493,1485352,,14.6,92,58.1,48.8,63
8966296,14842,,,13.4,83,0.0,9.2,2
8966302,14835,,,7.6,86,0.0,12.2,2
8896880,14490,1485241,,8.8,93,1.9,20.4,61
8805188,,1469975,,14.6,85,0.3,38.8,53
8953871,,1490902,,19.7,72,0.0,14.7,0
8966307,14836,,,12.7,87,0.0,13.7,2
8738622,15831,1464002,,14.2,80,0.0,36.6,51
8833446,15179,1481033,,10.8,87,0.0,17.6,2
8833416,15181,1481032,,12.5,91,0.1,31.1,51
8833440,15177,1481036,,10.8,90,0.0,15.3,2
8833441,15178,1481037,,11.2,91,0.2,20.4,53
